Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,0.168639,0.170118,0.168639,0.168639,0.126790,378560
2000-01-04,0.164201,0.164201,0.162721,0.162721,0.122341,47320
2000-01-05,0.162721,0.162721,0.162721,0.162721,0.122341,0
2000-01-06,0.147928,0.147928,0.147928,0.147928,0.111219,250120
2000-01-07,0.149408,0.149408,0.147928,0.147928,0.111219,135200
2000-01-10,0.147928,0.147928,0.147928,0.147928,0.111219,0
2000-01-11,0.149408,0.149408,0.147928,0.147928,0.111219,1568320
2000-01-12,0.150887,0.150887,0.150887,0.150887,0.113443,2109120
2000-01-13,0.153846,0.162721,0.150887,0.153846,0.115668,1237080
2000-01-14,0.155325,0.162721,0.155325,0.162721,0.122341,2345720
2000-01-17,0.159763,0.159763,0.156804,0.156804,0.117892,67600
2000-01-18,0.150887,0.150887,0.147928,0.147928,0.111219,128440
2000-01-19,0.147928,0.159763,0.147928,0.158284,0.119005,155480
2000-01-20,0.159763,0.162721,0.159763,0.159763,0.120117,277160
2000-01-21,0.153846,0.155325,0.153846,0.155325,0.116780,27040
2000-01-24,0.152366,0.152366,0.152366,0.152366,0.114555,60840
2000-01-25,0.152366,0.152366,0.152366,0.152366,0.114555,0
2000-01-26,0.162721,0.162721,0.162721,0.162721,0.122341,3549000
2000-01-27,0.164201,0.164201,0.164201,0.164201,0.123453,223080
2000-01-28,0.165680,0.165680,0.164201,0.165680,0.124565,101400
2000-01-31,0.164201,0.165680,0.162721,0.162721,0.122341,4961840
2000-02-01,0.164201,0.165680,0.164201,0.165680,0.124565,5495880
2000-02-02,0.165680,0.165680,0.165680,0.165680,0.124565,0
2000-02-03,0.165680,0.165680,0.165680,0.165680,0.124565,2028000
2000-02-04,0.165680,0.165680,0.165680,0.165680,0.124565,0
2000-02-07,0.165680,0.165680,0.165680,0.165680,0.124565,0
2000-02-08,0.165680,0.165680,0.165680,0.165680,0.124565,1392560
2000-02-09,0.162721,0.165680,0.162721,0.165680,0.124565,1284400
2000-02-10,0.162721,0.162721,0.162721,0.162721,0.122341,135200
2000-02-11,0.159763,0.167159,0.159763,0.167159,0.125677,13520
2000-02-14,0.167159,0.167159,0.167159,0.167159,0.125677,5549960
2000-02-15,0.147928,0.147928,0.147928,0.147928,0.111219,20280
2000-02-16,0.147928,0.147928,0.147928,0.147928,0.111219,0
2000-02-17,0.147928,0.147928,0.147928,0.147928,0.111219,0
2000-02-18,0.147928,0.147928,0.147928,0.147928,0.111219,0
2000-02-21,0.147928,0.147928,0.147928,0.147928,0.111219,0
2000-02-22,0.147928,0.147928,0.147928,0.147928,0.111219,0
2000-02-23,0.147928,0.147928,0.147928,0.147928,0.111219,0
2000-02-24,0.147928,0.147928,0.147928,0.147928,0.111219,0
2000-02-25,0.147928,0.147928,0.147928,0.147928,0.111219,0
2000-02-28,0.147928,0.147928,0.147928,0.147928,0.111219,0
2000-02-29,0.147928,0.147928,0.147928,0.147928,0.111219,0
2000-03-01,0.147928,0.147928,0.147928,0.147928,0.111219,0
2000-03-02,0.147928,0.147928,0.147928,0.147928,0.111219,0
2000-03-03,0.147928,0.147928,0.147928,0.147928,0.111219,0
2000-03-06,0.147928,0.147928,0.147928,0.147928,0.111219,0
2000-03-07,0.147928,0.147928,0.147928,0.147928,0.111219,0
2000-03-08,0.147928,0.147928,0.147928,0.147928,0.111219,0
2000-03-09,0.147928,0.147928,0.147928,0.147928,0.111219,0
2000-03-10,0.147928,0.147928,0.147928,0.147928,0.111219,0
2000-03-13,0.147928,0.147928,0.147928,0.147928,0.111219,0
2000-03-14,0.147928,0.147928,0.147928,0.147928,0.111219,0
2000-03-15,0.147928,0.147928,0.147928,0.147928,0.111219,0
2000-03-16,0.147928,0.147928,0.147928,0.147928,0.111219,0
2000-03-17,0.147928,0.147928,0.147928,0.147928,0.111219,0
2000-03-20,0.147928,0.147928,0.147928,0.147928,0.111219,0
2000-03-21,0.147928,0.147928,0.147928,0.147928,0.111219,0
2000-03-22,0.147928,0.147928,0.147928,0.147928,0.111219,0
2000-03-23,0.147928,0.147928,0.147928,0.147928,0.111219,0
2000-03-24,0.147928,0.147928,0.147928,0.147928,0.111219,0
2000-03-27,0.147928,0.147928,0.147928,0.147928,0.111219,0
2000-03-28,0.147928,0.147928,0.147928,0.147928,0.111219,0
2000-03-29,0.147928,0.147928,0.147928,0.147928,0.111219,0
2000-03-30,0.147928,0.147928,0.147928,0.147928,0.111219,0
2000-03-31,0.147928,0.147928,0.147928,0.147928,0.111219,0
2000-04-03,0.147928,0.147928,0.147928,0.147928,0.111219,0
2000-04-04,0.147928,0.147928,0.147928,0.147928,0.111219,0
2000-04-05,0.147928,0.147928,0.147928,0.147928,0.111219,0
2000-04-06,0.147928,0.147928,0.147928,0.147928,0.111219,0
2000-04-07,0.147928,0.147928,0.147928,0.147928,0.111219,0
2000-04-10,0.147928,0.147928,0.147928,0.147928,0.111219,0
2000-04-11,0.147928,0.147928,0.147928,0.147928,0.111219,0
2000-04-12,0.147928,0.147928,0.147928,0.147928,0.111219,0
2000-04-13,0.147928,0.147928,0.147928,0.147928,0.111219,0
2000-04-14,0.147928,0.147928,0.147928,0.147928,0.111219,0
2000-04-17,0.147928,0.147928,0.147928,0.147928,0.111219,0
2000-04-18,0.147928,0.147928,0.147928,0.147928,0.111219,0
2000-04-19,0.147928,0.147928,0.147928,0.147928,0.111219,0
2000-04-20,0.147928,0.147928,0.147928,0.147928,0.111219,0
2000-04-21,0.147928,0.147928,0.147928,0.147928,0.111219,0
2000-04-24,0.147928,0.147928,0.147928,0.147928,0.111219,0
2000-04-25,0.147928,0.147928,0.147928,0.147928,0.111219,0
2000-04-26,0.147928,0.147928,0.147928,0.147928,0.111219,0
2000-04-27,0.147928,0.147928,0.147928,0.147928,0.111219,0
2000-04-28,0.147928,0.147928,0.147928,0.147928,0.111219,0
2000-05-01,0.147928,0.147928,0.147928,0.147928,0.111219,0
2000-05-02,0.147928,0.147928,0.147928,0.147928,0.111219,0
2000-05-03,0.147928,0.147928,0.147928,0.147928,0.111219,0
